,MapCode,SpeciesName,CohortAge,CohortBiomass
4961,417,PITA,20,144
1682,417,PITA,30,690
4964,418,PITA,20,144
15426,418,QUAL,20,131
4966,419,PITA,30,273
1690,420,PITA,10,59
9597,421,CATO6,30,188
15023,421,QUAL,60,1398
15937,421,QUCO2,40,513
54,422,PIEC,40,299
7204,422,PIVI2,40,345
14742,422,PRSE2,20,50
7808,423,ACRU,30,151
6963,423,PIVI2,30,168
15687,423,QUAL,40,213
9629,424,CATO6,150,4402
16886,424,QURU,70,2547
5712,425,PITA,10,26
11890,426,LIST,20,111
2797,426,PITA,80,1186
3891,426,PITA,120,1957
11164,427,LIST,30,58
1706,427,PITA,10,20
3894,427,PITA,20,53
16294,427,QUPH,10,20
10801,428,LIST,10,24
4990,428,PITA,20,47
1711,428,PITA,30,398
14980,429,QUAL,30,143
13144,430,LITU,20,374
15422,430,QUAL,30,393
12904,431,LITU,10,18
7348,432,PIVI2,20,63
13151,433,LITU,10,33
6902,434,PIVI2,70,554
15053,434,QUAL,30,214
12484,435,LITU,20,39
17142,435,QUVE,20,83
10485,436,LIST,30,156
1723,436,PITA,20,127
14844,436,PRSE2,20,151
15711,437,QUAL,10,20
16327,437,QUPH,10,15
8317,438,ACRU,20,88
6104,438,PITA,30,273
14745,438,PRSE2,30,36
3918,439,PITA,30,367
4648,439,PITA,40,468
7001,439,PIVI2,40,458
12040,440,LIST,20,308
10456,440,LIST,30,79
1734,440,PITA,40,131
15642,440,QUAL,30,180
9490,441,CAGL8,20,24
13537,441,LITU,10,178
5748,441,PITA,30,370
7964,442,ACRU,10,37
2835,442,PITA,10,18
3930,443,PITA,30,562
6708,443,PIVI2,20,71
7134,444,PIVI2,20,76
16304,444,QUPH,30,101
9628,445,CATO6,40,183
13543,445,LITU,40,56
8700,446,ACRU,40,244
12577,446,LITU,150,1388
16776,446,QUMO4,50,2004
12492,447,LITU,40,116
16712,447,QUMO4,40,430
9473,448,CAGL8,40,122
13185,448,LITU,150,787
5036,449,PITA,10,70
1757,449,PITA,20,144
13675,450,LITU,50,405
665,450,PITA,30,273
12824,451,LITU,30,70
12823,451,LITU,40,233
15692,451,QUAL,60,1591
4679,452,PITA,30,273
1765,452,PITA,40,450
7711,452,PIVI2,20,103
376,453,PIEC,60,479
15752,453,QUAL,60,1520
8273,454,ACRU,20,51
1769,455,PITA,30,252
1770,455,PITA,40,213
5781,456,PITA,30,247
15638,456,QUAL,20,25
1773,457,PITA,30,287
16158,457,QUFA,20,20
8481,458,ACRU,50,331
13205,458,LITU,160,1051
8120,459,ACRU,40,173
7409,459,PIVI2,40,369
14709,460,PLOC,60,668
15798,460,QUAL,70,1369
7536,461,PIVI2,10,37
10505,462,LIST,10,87
7373,462,PIVI2,10,31
10874,463,LIST,10,24
9990,464,LIST,40,488
14192,464,LITU,120,1681
9738,465,FRAM2,70,2937
14881,465,PRSE2,40,187
16444,466,QUMO4,10,23
8010,467,ACRU,20,86
9496,467,CAGL8,40,88
